local_authority,level_two,crime,black,bad_very_bad,flat_hmo,five_plus,single,single_parent,smoking,unemployed,inactive,children,adult_under_thirty,sixtyfive_plus,stock
"Bristol, City of",32.7,57825,5.9,6.3,32.1,7.4,30.2,6.6,14,3.6,35.2,22.9,28.8,12.9,13351
North Somerset,39.3,16149,0.5,4.9,18.7,4.9,30.7,5.8,9.9,2.3,40.3,21.5,15.2,24,10089
South Gloucestershire,38.6,19001,1.6,4.2,11.7,6,26,5.9,9.4,2.4,35.3,22.9,19.9,18.7,14592
Plymouth,41.2,23352,1.1,6.6,23.7,5.4,32.6,7.1,15.5,3.2,41.4,22.4,21.7,18.5,22268
Torbay,47,11741,0.3,6.4,26.5,5.3,34.7,6.3,13.8,3,46.7,19.7,15.1,26.7,5536
Swindon,46.5,16528,2.6,4.8,16.7,7,28.4,6.5,10.2,3.2,33.8,23.9,19.1,15.9,5853
Cornwall,41.5,31449,0.2,5.6,10.8,5.3,30.7,5.7,11.1,2.6,44.2,20.4,15.5,25.4,23114
Isles of Scilly,34.9,71,0.2,3.3,17.6,4.8,32.6,3.4,11.1,0.9,34.8,17.1,14.4,28.3,61
Wiltshire,39.6,24003,1.1,4,10.1,5.2,28.2,5.3,10.2,2.3,37.5,22.1,16.4,21.9,26778
"Bournemouth, Christchurch and Poole",39.9,29172,1.1,5,34.4,5.2,32.5,5.7,9.7,3.3,41.1,20.9,19.2,21.5,9175
Dorset,41.2,20927,0.3,4.2,13.6,4.4,30.6,4.8,9.6,2.1,45.7,19.2,13.2,29.5,21894
East Devon,39.9,4970,0.2,4,12.4,5,30,4.5,8.7,1.9,45.7,19.2,13.6,30.1,3121
Exeter,33.1,10981,0.9,5.2,24.1,6.5,32.4,5.4,11,3.2,43.2,22.9,26.3,16.6,4930
Mid Devon,42.7,4970,0.1,4.4,7.9,5.8,28.7,5.4,12.5,2,38.9,21.8,14.7,24.1,1647
North Devon,44.4,4259,0.3,5,11.7,5.3,30.7,5.5,12,2.4,42.7,20.7,14.9,25.8,5033
South Hams,34.9,5889,0.2,4.3,8.2,4.8,29.5,4.7,7.7,1.9,44,19.2,12.9,28.3,4930
Teignbridge,40.6,5889,0.2,4.7,11.7,4.8,30.8,5.3,15.3,2.1,43.1,19.5,14.2,27.1,6093
Torridge,46.1,4259,0.1,5.2,7.9,5.2,30.6,5,8.4,2.4,45.4,19,13.7,28.3,2918
West Devon,40.2,34,0.2,4.6,8,5.2,29.4,4.5,11.5,2,45.6,19.2,12.5,28.5,2673
Cheltenham,33.9,11627,1,4,24.9,4.5,34.8,5.2,10.2,2.8,37.1,21.7,20.4,19.2,2513
Cotswold,36.5,4885,0.4,3.3,9.4,4.4,30.2,4.4,7.2,2.1,40.2,19.8,13.8,26,6294
Forest of Dean,44.5,5256,0.3,4.9,5.5,5.5,28.4,5.1,12.5,2.4,42.8,20.8,15.1,25.1,5442
Gloucester,45,16150,3.6,5.3,16.8,6.8,30.2,7.2,13.7,3.2,35.5,23.9,20.5,16.8,8679
Stroud,36.4,7375,0.4,3.8,9,5,29.1,4.9,9.7,2.1,38.1,21.4,14.5,23.3,2210
Tewkesbury,38.6,5573,0.6,3.7,8.8,4.8,28.2,5.7,9.8,2.2,37.7,22.2,16.3,22.2,5891
Somerset,42.6,41854,0.4,4.6,11.1,5.2,30.4,5.5,11.8,2.2,41.1,20.9,15.6,24.9,27733
